section,group_type,folder,company,project,title,url,order,visible,note
sound_fx,normal,SFX Design,,Halchemist,Halchemist (SFX),https://www.youtube.com/watch?v=RLz5ijzgbbY,1,TRUE,fixed item in website
sound_fx,normal,SFX Design,,Forge of the Fae,Forge of the Fae (SFX),https://youtu.be/lAexzt7wDuA?si=rCsX024IbIkHx5nM,2,TRUE,fixed item in website
sound_fx,normal,SFX Design,,Game Animation,Game Animation_Magician Dagger,https://www.youtube.com/watch?v=8BGq9GUZcsc,3,TRUE,fixed item in website
sound_fx,normal,SFX Design,,Game Animation,Game Animation_GuitarMan,https://www.youtube.com/watch?v=WFXobUPjBAA,4,TRUE,fixed item in website
sound_fx,normal,SFX Design,,Game Animation,Game Anim. SFX,https://www.youtube.com/watch?v=z2RsDNPt6jE,5,TRUE,fixed item in website
sound_fx,normal,Cinematic ReDesign,,Granblue Fantasy: Relink,Granblue Fantasy: Relink,https://www.youtube.com/watch?v=2JJzZG6-dn4,6,TRUE,fixed item in website
sound_fx,normal,Cinematic ReDesign,,Dragon's Dogma 2,Dragon's Dogma 2,https://www.youtube.com/watch?v=cqNpIJlF8JY,7,TRUE,fixed item in website
sound_fx,normal,Cinematic ReDesign,,Horizon Forbidden West,Horizon Forbidden West,https://www.youtube.com/watch?v=ZjrZGg8YRBo,8,TRUE,fixed item in website
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Indoor Fireplace Ambience for Relaxing | 6 Hours,https://www.youtube.com/watch?v=1VCbJ6lY6KQ,9,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Crystal Cavern : Fantasy Soundscape with Magical Echoes | 6 Hours,https://www.youtube.com/watch?v=oXVEVuGyJwE,10,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Sci-Fi Control Room : Futuristic Soundscape with Console Beeps | 6 Hours,https://www.youtube.com/watch?v=BymwgKU2VeA,11,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Enchanted Forest : Magical Nature Soundscape for Relaxation | 6 Hours,https://www.youtube.com/watch?v=91LPZUQISIs,12,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Quiet Rainfall in a Moss-Covered Woods: Peaceful Nature Sounds | 6 Hours,https://www.youtube.com/watch?v=-xRZin7vsig,13,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Dark Fantasy : Ashen Skies and Crimson Thunder | Mordor | 6 Hours,https://www.youtube.com/watch?v=7N025VMZszA,14,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Polar Solitude: Silent Snow and Distant Auroras | 6 Hours,https://www.youtube.com/watch?v=aOum1jE4An0,15,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Pastel Dreamscape | Lucid Dream : Fantasy Soundscape for Dreaming | 6 Hours,https://www.youtube.com/watch?v=akVEcZl0nrM,16,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Altar in the Demonic Cavern : Fantasy Soundscape for Dungeon Exploration | 6 Hours,https://www.youtube.com/watch?v=1h9Odv3PCDQ,17,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Console Room Noise: Soft Whirring and Static Noise for Focus | 6 Hours,https://www.youtube.com/watch?v=pd96ebqGeaY,18,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,"[Ambience | No Music] Wukong : Meditation | Nature | Tundra, Snow Field | 6 Hours",https://www.youtube.com/watch?v=g9ixH9v2Aus,19,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Cybertron : Sci-Fi Planet | Transformer | 6 Hours,https://www.youtube.com/watch?v=aunqzf38fuw,20,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,"[Ambient] Welcome to Silent Hill : Haunted Streets | Eerie, Horrify Soundscape | 6 Hours",https://www.youtube.com/watch?v=qdPtXZTPHV4,21,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience | No Music] Wukong : Meditation | Nature | Mountain | 6 Hours,https://www.youtube.com/watch?v=bHKCAxLqwcM,22,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Wukong : Pagoda Realm | Dark Cavern Soundscape | Horrify Echo | 6 Hours,https://www.youtube.com/watch?v=WHZHAxccwfk,23,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience | No Music] Wukong : Meditation | Nature | Mountain | 6 Hours,https://www.youtube.com/watch?v=ZRuBiPqarZc,24,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Cosmic Traveling: Captivating Nebula Atmosphere Soundscape,https://www.youtube.com/watch?v=4GSK_Z2UHoM,25,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Scorched Lands: Lava Fields | Natural Soundscape for Virtual Exploration | 6 Hours,https://www.youtube.com/watch?v=v8WGQVvCUNA,26,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Star Wars Ambience] Dagobah | Misty Forest Soundscape | 6 Hours,https://www.youtube.com/watch?v=fAi-Toa-7PU,27,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,"[Star Wars Ambience] Hoth : Rebel's Basecamp, Echobase | Blizzard Soundscape | 6 Hours",https://www.youtube.com/watch?v=VkeQDxAUr1s,28,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambience] Cosmic Traveling: Spaceship Cockpit Ambience with Engine & Signal Sounds | 6 Hours,https://www.youtube.com/watch?v=Gnd1mV4wrvk,29,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[World of Warcraft Ambience] Khaz Algar : Azj Kahet | Underground Cavern | 6 Hours,https://www.youtube.com/watch?v=93dm3Mtyj0I,30,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[World of Warcraft Ambience] Khaz Algar : Hallowfall | Nature Soundscape | 6 Hours,https://www.youtube.com/watch?v=brJxIgf7x0w,31,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,Cozy Rainfall Through a Gloomy Window : Relaxing Ambience | 6 Hours,https://www.youtube.com/watch?v=PS4EEb13eqU,32,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Star Wars Ambience] Star Wars Outlaw : Planet Akiva | Jungle Forest | 6 Hours,https://www.youtube.com/watch?v=i_vD3j0T8Rg,33,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[World of Warcraft Ambience] Khaz Algar : The Ringing Deeps | Underground Furnace | 6 Hours,https://www.youtube.com/watch?v=8lgDE_V0QGA,34,TRUE,randomly selects 5 on load
